,archi,model_name,epochs,batch_size,bands,lr,unitary,opt,loss,train_loss,val_loss,train_iou,train_acc,metrics_by_epoch
,Archi5,./mod/quantum/Archi5/big_ep4_lr0.001_time_14_30_17_idd67_val_loss0.3507356345653534_train_loss0.34251075983047485.model,6,10,"[1,2,3,4,5,6,7,8,9,10,11,12,13]",0.001,,Adam,BCEWithLogitsLoss,tensor(0.317),tensor(0.347),0.0,tensor(0.962),"{1: {'train_loss': tensor(0.550), 'val_loss': tensor(0.498), 'train_iou': 0.027, 'train_acc': tensor(0.885)}, 2: {'train_loss': tensor(0.456), 'val_loss': tensor(0.445), 'train_iou': 0.006, 'train_acc': tensor(0.950)}, 3: {'train_loss': tensor(0.410), 'val_loss': tensor(0.408), 'train_iou': 0.001, 'train_acc': tensor(0.960)},4: {'train_loss': tensor(0.372), 'val_loss': tensor(0.379), 'train_iou': 0.000, 'train_acc': tensor(0.961)}, 5: {'train_loss': tensor(0.343), 'val_loss': tensor(0.351), 'train_iou': 0.000, 'train_acc': tensor(0.962)},5: {'train_loss': tensor(0.317), 'val_loss': tensor(0.347), 'train_iou': 0.000, 'train_acc': tensor(0.962)}}"
,Archi5,./mod/quantum/Archi5/\ep4_lr0.001_time_07_19_12_idd27_val_loss0.38295549154281616_train_loss0.38424766063690186.model,5,10,"[12, 13]",0.001,,Adam,BCEWithLogitsLoss,tensor(0.3842),tensor(0.3830),0.0,tensor(0.9627),"{1: {'train_loss': tensor(0.5829), 'val_loss': tensor(0.5371), 'train_iou': 0.023764353, 'train_acc': tensor(0.8718)}, 2: {'train_loss': tensor(0.5056), 'val_loss': tensor(0.4875), 'train_iou': 0.018065946, 'train_acc': tensor(0.9451)}, 3: {'train_loss': tensor(0.4582), 'val_loss': tensor(0.4491), 'train_iou': 0.00047248733, 'train_acc': tensor(0.9622)}, 4: {'train_loss': tensor(0.4189), 'val_loss': tensor(0.4060), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 5: {'train_loss': tensor(0.3842), 'val_loss': tensor(0.3830), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}}"
,Archi5,./mod/quantum/Archi5/-------,2,10,"[12, 13]",0.001,,Adam,BCEWithLogitsLoss,tensor(0.161),tensor(0.191),0.000,tensor(0.963),"{1: {'train_loss': tensor(0.264), 'val_loss': tensor(0.231), 'train_iou': 0.000, 'train_acc': tensor(0.963)},2: {'train_loss': tensor(0.161), 'val_loss': tensor(0.191), 'train_iou': 0.000, 'train_acc': tensor(0.963)}}"
